Short_Description_ru,Short_Description,Water_In_Grams,Energy_In_Kilogram_Calorie,Protein_In_Grams,Lipid_Tot_In_Grams,Ash_In_Grams,Carbohydrate_In_Grams,Fiber_TD_In_Grams,Sugar_Tot_In_Grams,Calcium_In_Miligrams,Iron_In_Miligrams,Magnesium_In_Miligrams,Phosphorus_In_Miligrams,Potassium_In_Miligrams,Sodium_In_Miligrams,Zinc_In_Miligrams,Copper_In_Miligrams,Manganese_In_Miligrams,Selenium_In_Micrograms,Vit_C_In_Miligrams,Thiamin_In_Miligrams,Riboflavin_In_Miligrams,Niacin_In_Miligrams,Panto_Acid_In_Miligrams,Vit_B6_In_Miligrams,Folate_Tot_In_Micrograms,Folic_Acid_In_Micrograms,Food_Folate_In_Micrograms,Folate_DFE_In_Micrograms,Choline_Tot_In_Miligrams,Vit_B12_In_Micrograms,Vit_A_In_International_Unit,Vit_A_In_Retinol_Activity_Equivalents,Retinol_In_Micrograms,Alpha_Carot_In_Micrograms,Beta_Carot_In_Micrograms,Beta_Crypt_In_Micrograms,Lycopene_In_Micrograms,Lut_And_Zea_In_Micrograms,Vit_E_In_Miligrams,Vit_D_In_Micrograms,Vit_D_In_International_Unit,Vit_K_In_Micrograms,FA_Sat_In_Grams,FA_Mono_In_Grams,FA_Poly_In_Grams,Cholesterol_In_Miligrams,Gram_Weight_1,Gram_Weight_Descritpion_1,Gram_Weight_2,Gram_Weight_Description_2,Refuse_Percent,Desk3,cluster
"hush puppies, приготовление по рецепту","hush puppies,prep from recipe",29.0,337,7.7,13.5,3.9,46.0,2.8,2.03,278.0,3.04,24.0,189.0,144.0,668.0,0.66,0.066,0.22,15.8,0.2,0.35200000000000004,0.332,2.782,0.35700000000000004,0.102,89.0,69.0,20.0,137.0,32.7,0.19,186.0,41.0,38.0,17.0,27.0,1.0,0.0,401.0,1.26,0.0,0.0,23.6,2.108,3.263,7.2189999999999985,45.0,28.35,1 oz,152.0,1 cup,0.0,хаш папиес,cluster 1
hush puppies,hush puppies,29.0,337,7.7,13.5,3.9,46.0,2.8,2.03,278.0,3.04,24.0,189.0,144.0,668.0,0.66,0.066,0.22,15.8,0.2,0.35200000000000004,0.332,2.782,0.35700000000000004,0.102,89.0,69.0,20.0,137.0,32.7,0.19,186.0,41.0,38.0,17.0,27.0,1.0,0.0,401.0,1.26,0.0,0.0,23.6,2.108,3.263,7.2189999999999985,45.0,28.35,1 oz,152.0,1 cup,0.0,хаш папиес,cluster 1
"хитон,кожа,резенные сапоги (на аляске)","chiton,leathery,gumboots (alaska native)",78.6,83,17.1,1.6,2.7,0.0,0.0,0.0,121.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.34,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,хитон,cluster 18
хитон,chiton,78.6,83,17.1,1.6,2.7,0.0,0.0,0.0,121.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.34,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,хитон,cluster 18
"хлеб, paratha, whl пшеница, commly prep, frz","bread,paratha,whl wheat,commly prep,frz",33.5,326,6.36,13.2,1.59,45.35,9.6,4.15,25.0,1.61,37.0,120.0,139.0,452.0,0.82,0.146,1.054,7.1,0.0,0.11,0.076,1.83,0.465,0.08,10.0,0.0,10.0,10.0,6.3,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,1.35,0.0,0.0,3.4,5.8260000000000005,3.837,2.484,1.0,79.0,1 piece,0.0,0,0.0,хлеб,cluster 26
"хлеб,бостон коричневый,консервы","bread,boston brown,canned",47.2,195,5.2,1.5,2.8,43.3,4.7,2.42,70.0,2.1,63.0,112.0,318.0,631.0,0.5,0.08,1.02,21.9,0.0,0.014,0.115,1.12,0.5660000000000001,0.08199999999999999,11.0,4.0,7.0,14.0,23.5,0.01,87.0,25.0,25.0,1.0,2.0,0.0,0.0,71.0,0.32,0.0,0.0,2.5,0.282,0.207,0.564,1.0,28.35,1 oz,45.0,1 slice,0.0,хлеб,cluster 26
"хлеб, синяя кукуруза, сомивики (хопи)","bread,blue corn,somiviki (hopi)",55.01,186,3.1,1.53,0.52,39.84,3.6,12.94,34.0,1.58,43.0,94.0,114.0,9.0,0.82,0.119,0.405,3.0,0.0,0.03,0.0,0.55,0.17,0.168,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,18.0,0.34,0.0,0.0,0.0,0.289,0.34700000000000003,0.779,0.0,0.0,0,0.0,0,0.0,хлеб,cluster 26
"хлеб,банан,приготовление по рецепту,сделано с маргарином","bread,banana,prep from recipe,made w/margarine",29.2,326,4.3,10.5,1.0,54.6,1.1,0.0,21.0,1.4,14.0,58.0,134.0,302.0,0.35,0.07200000000000001,0.209,12.1,1.7,0.172,0.2,1.446,0.268,0.15,33.0,22.0,11.0,48.0,0.0,0.1,493.0,106.0,97.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.237,4.48,3.13,43.0,28.35,1 oz,57.0,"1 individual,  loaf (include Keebler Elfin Loaves)",0.0,хлеб,cluster 26
"хлеб цельнозерновой, товарный приготовленный, подгрещенный","bread, whole-wheat, commer prep, toasted",24.25,306,16.27,4.07,4.25,51.16,7.5,5.77,130.0,2.96,99.0,303.0,326.0,565.0,2.15,0.67,2.545,52.6,0.0,0.376,0.284,5.732,0.722,0.237,52.0,0.0,52.0,52.0,33.8,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,89.0,0.63,0.0,0.0,9.0,0.922,1.972,0.74,0.0,28.35,1 oz,25.0,1 slice,0.0,хлеб,cluster 26
хлеб,bread,29.2,326,4.3,10.5,1.0,54.6,1.1,0.0,21.0,1.4,14.0,58.0,134.0,302.0,0.35,0.07200000000000001,0.209,12.1,1.7,0.172,0.2,1.446,0.268,0.15,33.0,22.0,11.0,48.0,0.0,0.1,493.0,106.0,97.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.237,4.48,3.13,43.0,28.35,1 oz,57.0,"1 individual,  loaf (include Keebler Elfin Loaves)",0.0,хлеб,cluster 26
хлеб,bread,29.2,326,4.3,10.5,1.0,54.6,1.1,0.0,21.0,1.4,14.0,58.0,134.0,302.0,0.35,0.07200000000000001,0.209,12.1,1.7,0.172,0.2,1.446,0.268,0.15,33.0,22.0,11.0,48.0,0.0,0.1,493.0,106.0,97.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.237,4.48,3.13,43.0,28.35,1 oz,57.0,"1 individual,  loaf (include Keebler Elfin Loaves)",0.0,хлеб,cluster 26
хлеб,bread,33.0,272,10.75,2.42,1.96,51.88,2.2,4.62,52.0,3.91,32.0,105.0,117.0,602.0,1.04,0.152,0.5770000000000001,28.6,0.0,0.71,0.4270000000000001,4.817,0.455,0.107,123.0,67.0,56.0,170.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.21,0.0,0.0,0.7,0.529,0.362,0.855,0.0,28.35,1 oz,139.0,1 slice,0.0,хлеб,cluster 26
хлеб,bread,33.0,272,10.75,2.42,1.96,51.88,2.2,4.62,52.0,3.91,32.0,105.0,117.0,602.0,1.04,0.152,0.5770000000000001,28.6,0.0,0.71,0.4270000000000001,4.817,0.455,0.107,123.0,67.0,56.0,170.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.21,0.0,0.0,0.7,0.529,0.362,0.855,0.0,28.35,1 oz,139.0,1 slice,0.0,хлеб,cluster 26
"udi's, без глютена, классические французские булочки для ужина","udi's,gluten free,classic french dinner rolls",28.3,310,7.99,6.4,2.21,55.1,3.6,9.53,82.0,0.78,44.0,126.0,161.0,707.0,0.7,0.083,0.8,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1 roll,0.0,0,0.0,хлеб,cluster 26
udi,udi's,28.3,310,7.99,6.4,2.21,55.1,3.6,9.53,82.0,0.78,44.0,126.0,161.0,707.0,0.7,0.083,0.8,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1 roll,0.0,0,0.0,хлеб,cluster 26
"хлеб, сальвадорский swt chs (кесадилья сальвадорена)","bread,salvadoran swt chs (quesadilla salvadorena)",25.48,374,7.12,17.12,2.44,47.84,0.7,24.9,73.0,0.98,11.0,200.0,350.0,510.0,0.8,0.03,0.24,13.3,0.0,0.02,0.08,1.2,0.7,0.04,33.0,21.0,12.0,48.0,36.5,0.35,584.0,141.0,135.0,0.0,81.0,1.0,0.0,41.0,0.96,0.3,14.0,11.2,4.612,6.794,4.428,59.0,55.0,"1 serving,  (approximate serving size)",399.0,"1 cake, square (average weight of whole item)",0.0,хлеб,cluster 26
"brd,без глютена,белый,сделано с крахмалом тапиоки и коричневым рисом flr","brd,gluten-free,white,made w/tapioca starch & brwn rice flr",33.69,298,5.4,8.02,1.75,51.15,5.5,11.3,59.0,0.53,25.0,70.0,107.0,515.0,0.51,0.053,0.439,11.0,0.0,0.135,0.27,1.405,0.0,0.095,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.629,4.721,1.957,0.0,28.0,1 slice,0.0,0,0.0,хлеб,cluster 26
брд,brd,33.69,298,5.4,8.02,1.75,51.15,5.5,11.3,59.0,0.53,25.0,70.0,107.0,515.0,0.51,0.053,0.439,11.0,0.0,0.135,0.27,1.405,0.0,0.095,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.629,4.721,1.957,0.0,28.0,1 slice,0.0,0,0.0,хлеб,cluster 26
"udi's,без глютена,мягкий и сытный зерновой хлеб whl","udi's,gluten free,soft & hearty whl grain bread",32.36,309,7.25,9.34,1.96,49.09,4.9,9.81,60.0,0.76,31.0,77.0,123.0,510.0,0.58,0.07400000000000001,0.505,0.0,0.0,0.18,0.32,1.41,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,5.438,2.415,0.0,25.0,1 slice,0.0,0,0.0,хлеб,cluster 26
"udi's,без глютена,мягкий и вкусный белый хлеб sndwch","udi's,gluten free,soft & delicious white sndwch bread",33.69,298,5.4,8.02,1.75,51.15,5.5,11.3,59.0,0.53,25.0,70.0,107.0,515.0,0.51,0.053,0.439,11.0,0.0,0.135,0.27,1.405,0.0,0.095,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.629,4.721,1.957,0.0,28.0,1 slice,0.0,0,0.0,хлеб,cluster 26
"хлеб, на коленях (навахо)","bread,kneel down (navajo)",52.96,195,4.29,2.21,1.07,39.47,0.0,3.74,5.0,1.11,55.0,164.0,320.0,126.0,1.46,0.095,0.303,11.9,0.0,0.12,0.132,2.49,0.354,0.0,98.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.353,0.603,0.847,0.0,28.35,1 oz,0.0,0,0.0,хлеб,cluster 26
"хлеб, чинн","bread,cinn",41.93,253,7.05,5.29,1.34,44.38,3.5,14.11,71.0,2.54,11.0,57.0,74.0,388.0,0.49,0.064,0.0,12.3,0.0,0.317,0.12,2.822,0.0,0.027000000000000003,56.0,36.0,21.0,81.0,2.7,0.05,4.0,0.0,0.0,0.0,2.0,2.0,0.0,26.0,0.5,0.0,0.0,9.5,0.0,0.0,3.527,0.0,28.0,"1 slice,  1 serving",0.0,0,0.0,хлеб,cluster 26
"хлеб,чс","bread,chs",21.13,408,10.42,20.83,2.79,44.83,2.1,2.08,90.0,2.49,17.0,120.0,84.0,750.0,0.96,0.086,0.366,19.8,0.0,0.433,0.303,3.279,0.35,0.048,107.0,75.0,32.0,159.0,8.5,0.24,93.0,24.0,23.0,1.0,9.0,0.0,0.0,45.0,1.49,0.1,2.0,32.4,6.25,4.339,9.203,10.0,48.0,1 slice,0.0,0,0.0,хлеб,cluster 26
"хлеб, чапати или роти, whl пшеница, commly prep, frz","bread,chapati or roti,whl wheat,commly prep,frz",35.43,299,7.85,9.2,1.39,46.13,9.7,2.93,36.0,2.2,56.0,158.0,196.0,298.0,1.54,0.229,1.747,26.6,0.0,0.45,0.18,4.61,0.56,0.28,45.0,0.0,45.0,45.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.55,0.0,0.0,3.3,3.3110000000000004,2.091,0.7609999999999999,0.0,43.0,1 piece,0.0,0,0.0,хлеб,cluster 26
"хлеб, чапати или роти, pln, commly prep","bread,chapati or roti,pln,commly prep",33.0,297,11.25,7.45,1.94,46.36,4.9,2.72,93.0,3.01,62.0,184.0,266.0,409.0,1.57,0.252,1.251,53.7,0.0,0.55,0.2,6.78,0.58,0.27,61.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,1.953,1.893,1.147,0.0,68.0,1 piece,0.0,0,0.0,хлеб,cluster 26
"хлеб,пан дулсе,свт дрожжевой хлеб","bread,pan dulce,swt yeast bread",21.54,367,9.42,11.58,1.08,56.38,2.3,12.5,86.0,2.87,24.0,94.0,103.0,228.0,0.84,0.121,0.46,26.2,1.2,0.377,0.23,3.463,0.59,0.057,108.0,68.0,40.0,155.0,29.1,0.11,23.0,5.0,5.0,1.0,3.0,1.0,0.0,36.0,0.29,0.0,0.0,1.6,2.1830000000000003,3.499,1.53,30.0,63.0,"1 slice,  (average weight of 1 slice)",0.0,0,0.0,хлеб,cluster 26
"хлеб, naan, pln, commly prep, refr","bread,naan,pln,commly prep,refr",32.6,291,9.62,5.65,1.69,50.43,2.2,3.55,84.0,3.25,27.0,100.0,125.0,465.0,0.81,0.129,0.514,27.9,0.0,0.78,0.51,5.84,0.445,0.095,102.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,1.393,1.801,2.0980000000000003,0.0,90.0,1 piece,0.0,0,0.0,хлеб,cluster 26
"хлеб, фунтовый тип торта, пан де торта сальвадоран","bread,pound cake type,pan de torta salvadoran",22.38,390,7.06,17.45,1.82,51.29,1.7,18.1,46.0,2.2,19.0,300.0,210.0,390.0,0.62,0.03,0.26,13.5,0.0,0.07,0.18,4.7,0.55,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,3.042,4.4110000000000005,9.424,0.0,55.0,1 serving,622.0,"1 cake, square",0.0,хлеб,cluster 26
"udi's,без глютена,whl зерновые ужинные булочки","udi's,gluten free,whl grain dinner rolls",29.9,329,11.8,11.6,2.41,44.29,11.2,4.2,118.0,1.64,96.0,233.0,273.0,507.0,1.35,0.259,1.69,25.0,0.0,0.38,0.36,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,1.381,5.352,4.944,0.0,44.0,1 roll,0.0,0,0.0,хлеб,cluster 26
"хлеб,памперникель","bread,pumpernickel",37.9,250,8.7,3.1,2.6,47.5,6.5,0.53,68.0,2.87,54.0,178.0,208.0,596.0,1.48,0.287,1.305,24.5,0.0,0.327,0.305,3.091,0.404,0.126,93.0,59.0,34.0,134.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.42,0.0,0.0,0.8,0.4370000000000001,0.932,1.237,0.0,28.35,1 oz,26.0,"1 slice,  regular",0.0,хлеб,cluster 26
"хлеб,памперникель,tstd","bread,pumpernickel,tstd",31.8,275,9.5,3.4,2.8,52.2,7.1,0.58,74.0,3.15,60.0,195.0,228.0,655.0,1.62,0.315,1.4340000000000002,26.9,0.0,0.287,0.301,3.057,0.28800000000000003,0.124,87.0,61.0,26.0,129.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.46,0.0,0.0,0.9,0.481,1.024,1.359,0.0,28.35,1 oz,29.0,"1 slice,  (5"" x 4"" x 3/8"")",0.0,хлеб,cluster 26
"хлеб, французский","bread, french",33.0,272,10.75,2.42,1.96,51.88,2.2,4.62,52.0,3.91,32.0,105.0,117.0,602.0,1.04,0.152,0.5770000000000001,28.6,0.0,0.71,0.4270000000000001,4.817,0.455,0.107,123.0,67.0,56.0,170.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.21,0.0,0.0,0.7,0.529,0.362,0.855,0.0,28.35,1 oz,139.0,1 slice,0.0,хлеб,cluster 26
"хлеб,рулон,мексиканский,боллило","bread,roll,mexican,bollilo",26.05,318,10.65,5.8,1.73,55.77,2.2,3.55,41.0,3.9,30.0,111.0,131.0,506.0,0.88,0.135,0.68,38.8,0.2,0.68,0.43,5.585,0.52,0.105,127.0,70.0,57.0,176.0,14.3,0.13,5.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,10.9,1.401,2.658,1.022,1.0,98.0,1 piece,0.0,0,0.0,хлеб,cluster 26
"хлеб, картофель","bread,potato",33.55,266,12.5,3.13,3.76,47.07,6.3,9.38,188.0,2.25,28.0,369.0,718.0,375.0,1.44,0.094,0.253,9.5,0.0,0.188,0.106,1.25,0.8170000000000001,0.232,126.0,33.0,92.0,149.0,18.4,0.15,89.0,24.0,24.0,0.0,6.0,0.0,0.0,17.0,0.47,0.1,2.0,6.8,0.0,0.0,0.0,0.0,32.0,1 slice,0.0,0,0.0,хлеб,cluster 26
"хлеб,прот,(содержит глютен),tstd","bread,prot,(includes gluten),tstd",34.0,270,13.2,2.4,2.1,48.1,3.3,1.44,136.0,4.56,56.0,189.0,346.0,444.0,1.17,0.205,0.8029999999999999,36.2,0.0,0.317,0.389,4.2410000000000005,0.3,0.07,99.0,72.0,27.0,149.0,20.3,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,73.0,0.36,0.0,0.0,1.3,0.364,0.201,1.109,0.0,28.35,1 oz,17.0,1 slice,0.0,хлеб,cluster 26
"хлеб,защитный (включая глютен)","bread,prot (incl gluten)",40.0,245,12.1,2.2,1.9,43.8,3.0,1.44,124.0,4.15,65.0,185.0,322.0,404.0,1.82,0.417,1.472,32.9,0.0,0.36,0.394,4.289,0.42,0.071,116.0,81.0,35.0,173.0,18.7,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,77.0,0.36,0.0,0.0,1.3,0.332,0.183,1.009,0.0,28.35,1 oz,19.0,1 slice,0.0,хлеб,cluster 26
"хлеб, без глютена, экстракт картофеля, рисовый крахмал и рисовая мука","bread,gluten-free,potato extract,rice starch,& rice flour",31.67,320,3.13,10.7,1.68,52.83,3.5,8.36,24.0,0.76,11.0,37.0,92.0,528.0,0.26,0.039,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339,7.362999999999999,2.218,0.0,34.0,1 slice,0.0,0,0.0,хлеб без глютена,cluster 26
"хлеб,без глютена,рисовая мука,кукурузный крахмал и/или тапиока","bread,gluten-free,rice flour,corn starch,and/or tapioca",42.99,248,4.31,5.24,1.68,45.78,4.3,3.53,138.0,2.63,12.0,51.0,75.0,447.0,0.48,0.075,0.21,0.4,0.0,0.375,0.505,2.775,0.0,0.073,36.0,0.0,36.0,36.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.3,0.977,2.009,0.516,0.0,35.0,1 slice,0.0,0,0.0,хлеб без глютена,cluster 26
"хлеб,без глютена,whl зерно,тапиокий крахмал и коричневый рис flr","bread,gluten-free,whl grain,tapioca starch & brown rice flr",32.36,309,7.25,9.34,1.96,49.09,4.9,9.81,60.0,0.76,31.0,77.0,123.0,510.0,0.58,0.07400000000000001,0.505,0.0,0.0,0.18,0.32,1.41,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,5.438,2.415,0.0,25.0,1 slice,0.0,0,0.0,хлеб без глютена,cluster 26
"хлеб, белый, commly prep, tstd, lo na no sal","bread,white,commly prep,tstd,lo na no salt",30.4,293,9.0,4.0,2.1,54.4,0.0,0.0,119.0,3.33,26.0,103.0,131.0,376.0,0.68,0.138,0.421,0.0,0.0,0.415,0.337,3.926,0.278,0.063,95.0,69.0,26.0,143.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,1.771,0.818,1.0,28.35,1 oz,23.0,1 slice,0.0,хлеб белый,cluster 26
"хлеб,белый,обычный приготовление (включая мягкие хлебовые сушки)","bread,white,commly prep (incl soft bread crumbs)",36.42,266,8.85,3.33,1.98,49.42,2.7,5.67,144.0,3.61,23.0,98.0,126.0,490.0,0.74,0.101,0.536,22.0,0.0,0.5329999999999999,0.243,4.78,0.536,0.087,111.0,86.0,25.0,171.0,14.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.22,0.0,0.0,0.2,0.698,0.599,1.602,0.0,29.0,1 slice,28.35,1 oz,0.0,хлеб белый,cluster 26
"хлеб, белый, commly prep, lo na, без соли","bread,white,commly prep,lo na,no salt",36.7,267,8.2,3.6,1.9,49.6,2.3,4.31,108.0,3.03,24.0,94.0,119.0,298.0,0.62,0.126,0.383,22.6,0.0,0.472,0.341,3.969,0.39,0.064,111.0,86.0,25.0,171.0,14.6,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.22,0.0,0.0,3.1,0.8109999999999999,1.612,0.7440000000000001,1.0,28.35,1 oz,45.0,"1 cup, crumbs",0.0,хлеб белый,cluster 26
"хлеб, белый, commly prep, tstd","bread,white,commly prep,tstd",30.4,290,9.0,4.0,2.1,54.5,2.9,6.2,119.0,3.33,26.0,103.0,131.0,537.0,0.68,0.138,0.421,31.0,0.0,0.415,0.337,3.926,0.278,0.063,104.0,80.0,23.0,160.0,16.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.24,0.0,0.0,3.4,0.764,0.7959999999999999,2.09,1.0,28.35,1 oz,45.0,"1 cup, crumbs",0.0,хлеб белый,cluster 26
"хлеб,белый,приготовление по рецепту,сделанный с молоком (2%)","bread,white,prep from recipe,made w/lofat (2%) milk",35.3,285,7.9,5.7,1.5,49.6,2.0,0.0,57.0,2.97,19.0,115.0,146.0,359.0,0.64,0.115,0.416,21.3,0.2,0.405,0.383,3.588,0.374,0.051,91.0,49.0,42.0,125.0,0.0,0.08,79.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.178,1.298,2.781,3.0,28.35,1 oz,42.0,1 slice,0.0,хлеб белый,cluster 26
"хлеб,белый,приготовление по рецепту,сделанный с нежирным сухим молоком","bread,white,prep from recipe,made w/nonfat dry milk",34.8,274,7.7,2.6,1.4,53.6,2.0,0.0,32.0,3.18,17.0,96.0,111.0,336.0,0.59,0.112,0.46,23.1,0.0,0.431,0.35200000000000004,3.731,0.284,0.037000000000000005,85.0,58.0,27.0,126.0,0.0,0.02,41.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391,0.527,1.401,0.0,28.35,1 oz,44.0,1 slice,0.0,хлеб белый,cluster 26
"хлеб,французский или венский,whl пшеничный","bread,french or vienna,whl wheat",39.81,239,8.33,1.04,1.72,49.1,4.2,0.0,42.0,0.75,52.0,159.0,163.0,375.0,1.16,0.188,0.0,31.4,0.0,0.522,0.252,3.902,0.0,0.16,96.0,50.0,46.0,131.0,10.4,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,97.0,0.3,0.0,0.0,0.7,0.0,0.18,0.5760000000000001,0.0,48.0,"1 slice,  1 serving",0.0,0,0.0,хлеб венский,cluster 26
"хлеб для пикника, свинина, говядина","picnic loaf,pork,beef",60.2,232,14.92,16.64,3.48,4.76,0.0,0.0,47.0,1.02,15.0,125.0,267.0,1164.0,2.18,0.07,0.028,35.7,0.0,0.374,0.242,2.306,0.68,0.3,2.0,0.0,2.0,2.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,48.0,0.0,6.07,7.68,1.89,38.0,28.0,"1 slice,  (1 oz) (4"" x 4"" x 3/32"" thick)",57.0,2 slices,0.0,хлеб для пикника,cluster 26
хлеб для пикника,picnic loaf,60.2,232,14.92,16.64,3.48,4.76,0.0,0.0,47.0,1.02,15.0,125.0,267.0,1164.0,2.18,0.07,0.028,35.7,0.0,0.374,0.242,2.306,0.68,0.3,2.0,0.0,2.0,2.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,48.0,0.0,6.07,7.68,1.89,38.0,28.0,"1 slice,  (1 oz) (4"" x 4"" x 3/32"" thick)",57.0,2 slices,0.0,хлеб для пикника,cluster 26
"хлеб для тенниса,pln (apache)","tennis bread,pln (apache)",33.77,258,9.0,1.05,2.92,53.26,2.6,3.01,67.0,3.4,28.0,160.0,100.0,810.0,0.53,0.03,0.48,15.5,0.0,0.69,0.29100000000000004,3.41,0.39,0.059,162.0,128.0,34.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.2,0.27,0.12,0.59,0.0,0.0,0,0.0,0,0.0,хлеб для тенниса,cluster 26
"хлеб из солонины,желеный","corned beef loaf,jellied",69.1,153,22.9,6.1,3.0,0.0,0.0,0.0,11.0,2.04,11.0,73.0,101.0,953.0,4.09,0.06,0.031,17.2,0.0,0.0,0.11,1.76,0.19,0.12,8.0,0.0,8.0,8.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.68,0.32,47.0,28.0,"1 slice,  (1 oz) (4"" x 4"" x 3/32"" thick)",57.0,2 slices,0.0,хлеб из солоннины,cluster 26
хлеб из солоннины,corned beef loaf,69.1,153,22.9,6.1,3.0,0.0,0.0,0.0,11.0,2.04,11.0,73.0,101.0,953.0,4.09,0.06,0.031,17.2,0.0,0.0,0.11,1.76,0.19,0.12,8.0,0.0,8.0,8.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.68,0.32,47.0,28.0,"1 slice,  (1 oz) (4"" x 4"" x 3/32"" thick)",57.0,2 slices,0.0,хлеб из солоннины,cluster 26
